SampleID,Region,Sub-region,Latitude (decimal),Longitude (decimal),Sample type,Sampling depth,Salinity,Temperature,Dissolved oxygen,Sample filtered,Sampling date (start),Sampling date (stop),Decay-correction date,Nuclide,Value type,Activity or MDA,Uncertainty,Unit
9448,North Atlantic Ocean,Irish Sea,54.38,-3.48,WATE,0,,,,NA,1984-09-15,,,137Cs,=,5435.95,10.87,Bq/m3
9457,North Atlantic Ocean,Irish Sea,54.38,-3.48,WATE,0,,,,NA,1984-11-15,,,137Cs,=,4721.13,14.16,Bq/m3
9459,North Atlantic Ocean,Irish Sea,54.38,-3.48,WATE,0,,,,NA,1984-12-15,,,137Cs,=,2506.92,7.52,Bq/m3
9464,North Atlantic Ocean,Irish Sea,53.32,-3.78,WATE,0,33.177,,,NA,1980-04-17,,,137Cs,=,965.11,10.62,Bq/m3
7684,North Atlantic Ocean,Irish Sea,52.05,-5.08,WATE,3,,,,NA,1975-12-07,,,137Cs,=,173.53,,Bq/m3
7685,North Atlantic Ocean,Irish Sea,52.17,-5.67,WATE,3,,,,NA,1975-12-07,,,137Cs,=,126.91,,Bq/m3
7686,North Atlantic Ocean,Irish Sea,52.2,-6.08,WATE,3,,,,NA,1975-12-07,,,137Cs,=,116.18,,Bq/m3
7753,North Atlantic Ocean,Irish Sea,52.17,-5.67,WATE,3,34.623,,,NA,1976-03-24,,,137Cs,=,364.82,,Bq/m3
7754,North Atlantic Ocean,Irish Sea,52.2,-6.08,WATE,3,34.113,,,NA,1976-03-24,,,137Cs,=,190.18,,Bq/m3
7760,North Atlantic Ocean,Irish Sea,52.05,-5.08,WATE,3,34.188,,,NA,1976-04-11,,,137Cs,=,1114.81,,Bq/m3
7761,North Atlantic Ocean,Irish Sea,52.17,-5.67,WATE,3,34.5,,,NA,1976-04-11,,,137Cs,=,466.2,,Bq/m3
7166,North Atlantic Ocean,Irish Sea,54.55,-3.58,WATE,0,,,,NA,1979-04-20,,,137Cs,=,8381.61,16.76,Bq/m3
7167,North Atlantic Ocean,Irish Sea,54.65,-3.55,WATE,0,,,,NA,1979-04-20,,,137Cs,=,6567.25,19.7,Bq/m3
8054,North Atlantic Ocean,Irish Sea,54.47,-3.35,WATE,3,33.995,,,NA,1977-06-15,,,137Cs,=,5259.03,5.26,Bq/m3
8060,North Atlantic Ocean,Irish Sea,52.17,-5.67,WATE,3,34.563,,,NA,1977-06-27,,,137Cs,=,42.03,0.92,Bq/m3
8061,North Atlantic Ocean,Irish Sea,52.2,-6.08,WATE,3,34.388,,,NA,1977-06-27,,,137Cs,=,461.8,1.85,Bq/m3
8062,North Atlantic Ocean,Irish Sea,54.47,-3.35,WATE,3,34.149,,,NA,1977-07-15,,,137Cs,=,2305.95,2.31,Bq/m3
7266,North Atlantic Ocean,Irish Sea,54.73,-3.47,WATE,0,,,,NA,1979-11-21,,,137Cs,=,7300.08,14.6,Bq/m3
7267,North Atlantic Ocean,Irish Sea,54.88,-3.37,WATE,0,,,,NA,1979-11-21,,,137Cs,=,4485.55,8.97,Bq/m3
7268,North Atlantic Ocean,Irish Sea,53.32,-3.78,WATE,0,,,,NA,1979-11-21,,,137Cs,=,2053.28,8.21,Bq/m3
7269,North Atlantic Ocean,Irish Sea,53.33,-3.4,WATE,0,,,,NA,1979-11-21,,,137Cs,=,3885.34,7.77,Bq/m3
7275,North Atlantic Ocean,Irish Sea,53.9,-3.03,WATE,0,,,,NA,1979-11-22,,,137Cs,=,9302.9,9.3,Bq/m3
7278,North Atlantic Ocean,Irish Sea,54.12,-3.27,WATE,0,,,,NA,1979-11-22,,,137Cs,=,15113.5,15.11,Bq/m3
7367,North Atlantic Ocean,Irish Sea,52.2,-6.08,WATE,3,,,,NA,1975-03-11,,,137Cs,=,65.49,,Bq/m3
7176,North Atlantic Ocean,Irish Sea,53.43,-3.05,WATE,0,,,,NA,1979-06-10,,,137Cs,=,3616.15,7.23,Bq/m3
7177,North Atlantic Ocean,Irish Sea,53.32,-3.78,WATE,0,,,,NA,1979-06-12,,,137Cs,=,1788.82,7.16,Bq/m3
7178,North Atlantic Ocean,Irish Sea,53.33,-3.4,WATE,0,,,,NA,1979-06-12,,,137Cs,=,3485.73,6.97,Bq/m3
7800,North Atlantic Ocean,Irish Sea,54.47,-3.35,WATE,3,33.923,,,NA,1976-06-15,,,137Cs,=,2971.84,,Bq/m3
7805,North Atlantic Ocean,Irish Sea,52.17,-5.67,WATE,3,,,,NA,1976-06-28,,,137Cs,=,571.54,6.29,Bq/m3
7806,North Atlantic Ocean,Irish Sea,52.2,-6.08,WATE,3,,,,NA,1976-06-28,,,137Cs,=,294.41,5.89,Bq/m3
